run_dir,task_id,occurrence,call_seq,note_rank,note_id,similarity,via,note_text_snippet,source_repository,note_timestamp
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,3,1,9a1b64f2-4487-46c4-b048-5d66695239c6,49.834234,match,"SimpleLogin codebase exploration started. Key entry points: server.py (Flask app), wsgi.py (gunicorn), email_handler.py (aiosmtpd SMTP), cron.py (scheduled jobs).",simple-login/app,2026-09-13T04:02:50.746Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,3,2,d2d6fff0-14fd-4f37-a6fd-b99d949553be,64.38624,match,"SimpleLogin dev startup: server.py runs `local_main()` which calls `create_app()` and runs Flask dev server on port 7777. Config loaded from .env via python-dotenv. Log format: %(asctime)s - %(name)s - %(levelname)s - %(process)d - ""%(pathname)s:%(lineno)d"" - %(funcName)s() - %(message_id)s - %(mess",simple-login/app,2026-09-13T04:22:23.246Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,3,3,335557ea-75de-4375-bff0-9a2cf5b896d5,43.47855,match,"Background jobs: cron.py runs individual cron jobs via CLI args (-j), called from Kubernetes CronJobs per crontab.yml. job_runner.py runs continuously (while True, 10s sleep) processing the Job table (onboarding, delete account, etc.). monitoring.py runs continuously polling Postfix/DB metrics. even",simple-login/app,2026-09-13T04:23:20.594Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,3,4,2514d946-e096-42d2-ad90-eefa5a43a83f,42.176925999999995,match,"Auth flow: Flask-Login with RedisSessionStore. login_manager.user_loader on User.get_by(alternative_id). After login, `login_user(user)` sets `_user_id` in session. `@login_required` decorator checks `current_user.is_authenticated`. API uses `require_api_auth` which reads `Authentication` header and",simple-login/app,2026-09-13T04:22:52.484Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,1,9a1b64f2-4487-46c4-b048-5d66695239c6,55.69552,match,"SimpleLogin codebase exploration started. Key entry points: server.py (Flask app), wsgi.py (gunicorn), email_handler.py (aiosmtpd SMTP), cron.py (scheduled jobs).",simple-login/app,2026-09-13T04:02:50.746Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,2,e711b188-4581-4be4-991a-e4fdc57b6728,65.67626,match,"SimpleLogin email forwarding: email_handler.py is a separate process running aiosmtpd.Controller. MailHandler class implements async handle_DATA() which calls handle() -> handle_forward() or handle_reply(). handle_forward() looks up alias by rcpt_to, finds user's mailboxes, creates EmailLog, then ca",simple-login/app,2026-09-13T04:48:54.987Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,3,d2d6fff0-14fd-4f37-a6fd-b99d949553be,58.75212,match,"SimpleLogin dev startup: server.py runs `local_main()` which calls `create_app()` and runs Flask dev server on port 7777. Config loaded from .env via python-dotenv. Log format: %(asctime)s - %(name)s - %(levelname)s - %(process)d - ""%(pathname)s:%(lineno)d"" - %(funcName)s() - %(message_id)s - %(mess",simple-login/app,2026-09-13T04:22:23.246Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,4,335557ea-75de-4375-bff0-9a2cf5b896d5,58.848670000000006,match,"Background jobs: cron.py runs individual cron jobs via CLI args (-j), called from Kubernetes CronJobs per crontab.yml. job_runner.py runs continuously (while True, 10s sleep) processing the Job table (onboarding, delete account, etc.). monitoring.py runs continuously polling Postfix/DB metrics. even",simple-login/app,2026-09-13T04:23:20.594Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,5,90e1020a-6459-4492-9298-02cd1512b452,58.78787,match,SimpleLogin auth flow details: Flask-Login + custom Redis session. Module-level db.py creates engine and scoped_session. Server-level login_manager.user_loader calls User.get_by(alternative_id=). API layer sets g.user = current_user or g.user = api_key.user. @login_required uses Flask-Login's login_,simple-login/app,2026-09-13T04:48:19.288Z
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,task-6905333b74f22949d97ba9a4,1,4,6,2514d946-e096-42d2-ad90-eefa5a43a83f,46.967130000000004,link,"Auth flow: Flask-Login with RedisSessionStore. login_manager.user_loader on User.get_by(alternative_id). After login, `login_user(user)` sets `_user_id` in session. `@login_required` decorator checks `current_user.is_authenticated`. API uses `require_api_auth` which reads `Authentication` header and",simple-login/app,2026-09-13T04:22:52.484Z
